de_sign,dec_rad,ded,dem,des,dm,glat,glon,hd_cat_num,hrn,n_spectral_type,n_vmag,name,ra_rad,rah,ram,ras,spectral_type,u_vmag,vmag,x,y,z
-,-0.6886051119639294,36.0,13.0,49.0,CD-36 3189,-15.58,246.06,50445,2558,,,,1.7964019492308134,6.0,51.0,42.3,A3V,,5.96,-0.17272362370387903,0.7525663893925593,-0.6354607614725301
-,-1.6092662923909384,80.0,48.0,49.0,CP-80  196,-27.21,292.6,50506,2559,,,Zet Men,1.7455256015351788,6.0,40.0,2.7,A5III,,5.64,0.006686028659991348,-0.03787486429485842,-0.9992601221280693
+,1.1229012075018519,58.0,25.0,21.0,BD+58  982,23.6,157.77,50522,2560,,,15    Lyn,1.8207056590648343,6.0,57.0,16.5,G5III-IV,,4.35,-0.10710499898704853,0.4196158770595522,0.9013606575125892
+,1.1423179954302887,57.0,33.0,48.0,BD+57 1017,23.38,158.68,50551,2561,,,,1.8204656762926852,6.0,57.0,13.2,K3III,,6.05,-0.10266005646267022,0.4026046521693602,0.9095990363114232
-,-1.1124292319898859,60.0,14.0,57.0,CP-60  712,-23.49,270.18,50571,2562,,,,1.7890424775515705,6.0,50.0,1.1,F7III-IV,,6.11,-0.0958056981008269,0.4319880386370134,-0.8967762277658565
-,-0.9143343618885293,48.0,17.0,33.0,CD-48 2556,-19.89,257.9,50621,2563,,,,1.7957110897352324,6.0,51.0,32.8,K2-3III,,6.42,-0.13611511780784133,0.5949459942134172,-0.7921565114758359
+,0.27343491614577836,13.0,10.0,40.0,BD+13 1462,6.67,201.51,50635,2564,,,38    Gem,1.8092301192329716,6.0,54.0,38.7,F0Vp,,4.65,-0.22740666054404474,0.9356091232616687,0.27004032885800083
-,-0.34019376003456137,19.0,1.0,58.0,BD-18 1591,-8.15,230.2,50644,2565,,,,1.803419627264874,6.0,53.0,18.8,F1V,,5.64,-0.2173192338403281,0.9172986677364828,-0.3336697540562023
-,-0.5585053606381855,18.0,56.0,0.0,BD-18 1594,-8.1,230.11,50643,2566,,,,1.8036305212161565,6.0,53.0,21.7,A5m,,6.14,-0.19567536465698596,0.8251646654219352,-0.5299192642332049
-,-0.7044585193362113,26.0,57.0,27.0,CD-26 3529,-11.61,237.43,50648,2567,,,,1.8020597248893617,6.0,53.0,0.1,M4III,,6.4,-0.1746474593427722,0.7416770653682014,-0.6476213366249812
+,0.8746281214056584,46.0,16.0,27.0,BD+46 1203,20.07,170.3,50658,2568,,,Psi9Aur,1.8174913443590783,6.0,56.0,32.3,B8IIIe,,5.87,-0.15660136539098315,0.6218672948952019,0.7673050761577196
+,0.5346525275275963,25.0,22.0,32.0,BD+25 1496,12.06,190.42,50692,2569,,,37    Gem,1.8121317291144126,6.0,55.0,18.6,G0V,,5.73,-0.205646135325648,0.8355097405623458,0.5095420889887966
-,-0.31045044069849137,5.0,51.0,9.0,BD-05 1863,-2.07,218.45,50700,2570,,,,1.8070339132575455,6.0,54.0,8.5,A6Vn,,6.41,-0.22285803906317317,0.9257492294215987,-0.30548757527964
-,-0.40775254649717524,20.0,13.0,27.0,BD-20 1616,-8.62,231.3,50707,2571,,,15    CMa,1.8044450082004206,6.0,53.0,32.9,B1IV,,4.83,-0.21254657684855405,0.8930701658385032,-0.3965471366170107
-,-0.05068727036000199,1.0,7.0,37.0,BD-00 1487,0.15,214.27,50747,2572,,,,1.808204738297425,6.0,54.0,24.6,A4IV,,5.45,-0.23488246939127258,0.9707024393213087,-0.050665568864061775
+,0.9874200243157921,46.0,42.0,18.0,BD+46 1205,20.28,169.89,50763,2573,,,,1.8192148569954227,6.0,56.0,56.0,gK0,,5.86,-0.1354369907758281,0.5339353801095421,0.8346075912648213
-,-0.21954787549045335,12.0,2.0,19.0,BD-11 1681,-4.85,223.98,50778,2574,,,14The CMa,1.807244807208828,6.0,54.0,11.4,K4III,,4.07,-0.22862844179233832,0.9488399548463712,-0.2177883736353799
-,-0.865101532571856,42.0,30.0,16.0,CD-42 2793,-17.73,252.22,50785,2575,,,,1.8005761950251666,6.0,52.0,39.7,F5II-III,,6.52,-0.1477187360594147,0.6315163717238114,-0.7611611178073943
-,-0.6299911379177865,28.0,32.0,23.0,CD-28 3554,-12.16,238.95,50806,2576,,,,1.8045177302525872,6.0,53.0,33.9,G5IV,,6.04,-0.18713984846774773,0.7860633363689447,-0.5891375971129255
-,-0.21547544056913326,1.0,45.0,23.0,BD-01 1446,-0.08,214.87,50820,2577,,,,1.8094773742103374,6.0,54.0,42.1,B3IVe+K2II,,6.21,-0.23095399389121252,0.9491810811512462,-0.21381189838325013
-,-0.5600325237336805,24.0,32.0,21.0,CD-24 4565,-10.4,235.29,50853,2578,,,,1.8060739821689484,6.0,53.0,55.3,A1,,6.21,-0.19750215360297152,0.8238961387047739,-0.531213753539526
-,-1.0059641476182317,43.0,58.0,33.0,CD-43 2756,-18.23,253.67,50860,2579,,,,1.8011143382111983,6.0,52.0,47.1,B8V,,6.46,-0.12219619114370933,0.5211395395917096,-0.8446784424525767
-,-0.467021019012816,24.0,11.0,2.0,CD-24 4567,-10.21,234.98,50877,2580,,,16Omi1CMa,1.8069902800262456,6.0,54.0,7.9,K2+Iab,,3.87,-0.20894528422362574,0.8681223028779123,-0.45022831479890124
+,1.4332789261481766,70.0,48.0,29.0,BD+70  430,26.31,144.42,50885,2581,,,,1.83852256184561,7.0,1.0,21.5,gK4,,5.68,-0.0362642135855663,0.1322007313997312,0.9905593740056153
-,-0.24529148195736974,2.0,48.0,13.0,BD-02 1827,-0.49,215.83,50890,2582,,,,1.810691832481517,6.0,54.0,58.8,gG6,,6.04,-0.23048891224819362,0.942286600097803,-0.2428390920069657
-,-0.6444628262989063,23.0,55.0,42.0,CD-23 4553,-10.08,234.76,50896,2583,v,,,1.8073611624922945,6.0,54.0,13.0,WN5-B,,6.91,-0.1873562978085883,0.7771577127348482,-0.6007690964157516
+,0.22463841914210347,8.0,19.0,29.0,BD+08 1562,4.7,205.98,50931,2584,,,,1.8132952819490753,6.0,55.0,34.6,A0V,,6.29,-0.23409589669831188,0.9463507910904542,0.22275388066537657
+,0.810050939081868,45.0,5.0,39.0,BD+45 1367,19.87,171.55,50973,2585,,,16    Lyn,1.8222037333394627,6.0,57.0,37.1,A2Vn,,4.9,-0.1715155316569818,0.6677871173798846,0.7243222958475647
+,0.7542731250702162,33.0,40.0,52.0,BD+33 1433,15.72,182.72,51000,2586,,,,1.8195421062301715,6.0,57.0,0.5,G5III,,5.89,-0.17941468821824821,0.7063393730440558,0.6847591253421007
-,-0.9660397409788612,54.0,5.0,24.0,CP-53 1177,-21.48,263.86,51043,2587,,,,1.801099793800765,6.0,52.0,46.9,G5Ib-II,,6.57,-0.12978731290447856,0.5535502068642072,-0.8226405180208597
-,-0.455021880405355,20.0,24.0,17.0,BD-20 1624,-8.39,231.62,51055,2588,,,17    CMa,1.810975448484966,6.0,55.0,2.7,A3IV,,5.74,-0.21367300117831217,0.8724674483074876,-0.4394819680160661
+,0.40746165828850944,9.0,57.0,23.0,BD+10 1335,5.62,204.61,51104,2589,,,,1.8170186510199966,6.0,56.0,25.8,B8Vn,,5.92,-0.22378673141919916,0.8904389910632352,0.39628008029044176
-,-0.3847723780125833,20.0,8.0,11.0,BD-19 1610,-8.15,231.44,51199,2590,,,19Pi  CMa,1.8134989036951412,6.0,55.0,37.4,gF2,,4.68,-0.2227551058132334,0.8997187983611544,-0.37534816731895154
-,-0.8287405064886408,42.0,21.0,56.0,CD-42 2818,-17.38,252.21,51208,2591,,,,1.8083574546069747,6.0,54.0,26.7,C3II,,6.32,-0.1590391023709105,0.6568245436894506,-0.7370807843948992
-,-1.119046938737031,59.0,20.0,28.0,CP-59  716,-22.93,269.31,51210,2592,,,,1.8009907107225152,6.0,52.0,45.4,A3m,,6.41,-0.09960395064974163,0.4250250712280053,-0.899684801384681
-,-0.2557634574693357,14.0,2.0,37.0,BD-13 1741,-5.34,225.99,51250,2593,,,18Mu  CMa,1.815622387618401,6.0,56.0,6.6,G5III+A2,,5.0,-0.2345028138301731,0.938619983280665,-0.25298410482070854
-,-1.0327985848676444,50.0,36.0,42.0,CD-50 2458,-20.24,260.38,51266,2594,,,,1.8065830365341138,6.0,54.0,2.3,K0-1III,,6.26,-0.11970485252692616,0.4982394538233696,-0.8587363943232506
-,-0.6304274702307852,22.0,56.0,29.0,BD-22 1602,-9.33,234.01,51283,2595,,,,1.8141824909855055,6.0,55.0,46.8,B3II-III,,5.3,-0.19466613672658128,0.7839684325854327,-0.589490111809764
-,-0.3108867730114899,17.0,3.0,15.0,BD-16 1661,-6.68,228.7,51309,2596,,,20Iot CMa,1.8157387429018672,6.0,56.0,8.2,B3II,,4.37,-0.2308756373920553,0.9236448356130292,-0.30590302009655346
+,0.42956916214710433,11.0,54.0,27.0,BD+12 1361,6.71,202.96,51330,2597,,,,1.8213747019447657,6.0,57.0,25.7,F2Ib-II,,6.27,-0.22543558178824155,0.8807519052842264,0.4164791468993403
-,-0.7478735844795702,31.0,47.0,24.0,CD-31 3808,-13.03,242.21,51411,2598,,,,1.814764267402837,6.0,55.0,54.8,B3V,,6.36,-0.17709279417175242,0.7114263880863607,-0.6800813455659817
-,-0.18645934175472753,8.0,10.0,44.0,BD-07 1642,-2.49,220.85,51424,2599,,,,1.819513017409305,6.0,57.0,0.1,K0II-III+A2V,,6.34,-0.24189358597903315,0.95242924175998,-0.1853807770582311
+,0.6768968615651342,38.0,3.0,8.0,BD+38 1656,17.72,178.64,51440,2600,,,62    Aur,1.8284360132101263,6.0,59.0,2.8,K2III,,6.0,-0.19862085494793796,0.7537914193108862,0.6263770846327553
+,0.4750204447511234,26.0,4.0,52.0,BD+26 1405,13.07,190.09,51530,2601,,,39    Gem,1.8273160936067632,6.0,58.0,47.4,F7V,,6.1,-0.22562518801092785,0.8601849736808287,0.45735662845174274
-,-1.4739305533092113,70.0,57.0,48.0,CP-70  572,-25.53,281.74,51557,2602,,,Iot Vol,1.795289301832667,6.0,51.0,27.0,B7IV,,5.4,-0.021529786330675864,0.09428751934605589,-0.9953121781612654
-,-0.43720497762457955,22.0,12.0,12.0,BD-22 1616,-8.71,233.48,51630,2603,,,,1.8205820315761516,6.0,57.0,14.8,B1-2III:,,6.61,-0.2239446977044964,0.8778232100796951,-0.42340900346523225
-,-0.7003133623627248,35.0,20.0,30.0,CD-35 3225,-14.29,245.63,51682,2604,,,,1.8184658198581085,6.0,56.0,45.7,K2III,,6.29,-0.18744791814097123,0.7413083231079549,-0.6444573283588975
+,0.6756605866783049,25.0,54.0,51.0,BD+26 1411,13.14,190.31,51688,2605,,,40    Gem,1.8302613367195038,6.0,59.0,27.9,B8III,,6.4,-0.20019495978933774,0.7541754944229551,0.6254129049570666
+,0.28499772244024074,7.0,37.0,19.0,BD+07 1539,5.06,206.95,51693,2606,,,,1.8267052283685654,6.0,58.0,39.0,A3V,,6.27,-0.2429143403947571,0.928409575484649,0.2811552656078022
-,-0.5839580788964361,24.0,37.0,50.0,CD-24 4648,-9.7,235.73,51733,2607,,,,1.8219710227725303,6.0,57.0,33.9,dF0,,5.46,-0.20735532642329008,0.8081079977294122,-0.5513304205371322
-,-1.0265444883813315,48.0,43.0,16.0,CD-48 2601,-19.29,258.6,51799,2608,,,,1.8163059749087653,6.0,56.0,16.0,M1III,,4.95,-0.12584635852120937,0.5022518586646738,-0.8555149119184491
+,1.5236724369910497,87.0,1.0,12.0,BD+87   51,27.72,126.22,51802,2609,,,,2.0093466623845546,7.0,40.0,30.5,M2IIIab,,5.07,-0.020002691180277227,0.0426486816209652,0.99888987496197
+,0.210021286656651,3.0,36.0,8.0,BD+03 1488,3.31,210.58,51814,2610,,,,1.8280142253075609,6.0,58.0,57.0,G8III,,5.97,-0.24880109974456113,0.9458508353073191,0.20848071880714494
-,-0.6119560689805118,27.0,32.0,15.0,CD-27 3460,-10.91,238.42,51823,2611,,,,1.822589160215945,6.0,57.0,42.4,B2.5V,,6.23,-0.2039280779395515,0.7927155598910477,-0.5744696511866426
-,-0.7437284275060836,35.0,30.0,27.0,CD-35 3233,-14.26,245.83,51825,2612,,,,1.8207856533222175,6.0,57.0,17.6,F8IV-V,,6.23,-0.18206918397030353,0.7130724569926905,-0.67703654504524
+,0.20514890916150016,7.0,19.0,1.0,BD+07 1544,5.08,207.3,51892,2613,,,,1.8296941047126056,6.0,59.0,20.1,B7III,,6.35,-0.2506467495530716,0.9464022619534904,0.2037129487975587
-,-0.5143630749731621,27.0,9.0,53.0,CD-26 3646,-10.67,238.12,51925,2614,,,,1.8244217559305396,6.0,58.0,7.6,B2.5III,,6.37,-0.2184482107434113,0.8427547851502671,-0.4919804379539182
+,0.2999057431343589,16.0,4.0,44.0,BD+16 1354,9.16,199.48,52005,2615,,,41    Gem,1.8337447230182753,7.0,0.0,15.8,K3Ib,,5.68,-0.2483266403826919,0.9225263688523723,0.2954301583256219
-,-0.5446881707265637,25.0,24.0,50.0,CD-25 3864,-9.82,236.55,52018,2616,,,,1.8264797900068495,6.0,58.0,35.9,B3V,,5.59,-0.2163083052567996,0.8274840371585929,-0.5181514115822206
+,1.413353083854575,70.0,43.0,55.0,BD+70  432,26.67,144.56,52030,2617,,R,,1.8581793325461957,7.0,5.0,51.8,K0III,,6.5,-0.04444212816060766,0.15036331526832444,0.9876313941274217
-,-0.7432193731409187,28.0,58.0,20.0,CD-28 3666,-11.33,239.83,52089,2618,,,21Eps CMa,1.8265961452903157,6.0,58.0,37.5,B2II,,1.5,-0.18629656751817675,0.7123358558454339,-0.6766618190853527
-,-0.6226462106489771,34.0,6.0,42.0,CD-33 3389,-13.49,244.61,52092,2619,,,,1.825694391843452,6.0,58.0,25.1,B3V,,5.06,-0.20482841873276145,0.7860906148359503,-0.5831868175347195
+,0.6670066624704996,32.0,24.0,52.0,BD+32 1460,16.06,184.3,52100,2620,,,,1.8382098570212944,7.0,1.0,17.2,A9IV,,6.59,-0.20760554128019432,0.7577520992421451,0.618636965694647
-,-0.7848163869801169,30.0,59.0,52.0,CD-30 3757,-12.16,241.72,52140,2621,,,,1.827054294218964,6.0,58.0,43.8,B3V,,6.42,-0.17932928942206727,0.6844141891000174,-0.7066952834949035
-,-0.18333229351157102,5.0,22.0,1.0,BD-05 1910,-0.48,218.72,52265,2622,,,,1.8339047115330414,7.0,0.0,18.0,G0III-IV,,6.3,-0.25572465200293315,0.9494045762564624,-0.18230702932488918
-,-0.524471440224296,21.0,36.0,12.0,BD-21 1689,-7.94,233.19,52273,2623,,,,1.831090368114201,6.0,59.0,39.3,B2-3IV-V:,,6.26,-0.22277198629348727,0.8364308172226617,-0.5007555592532996
-,-0.2461641465833669,8.0,24.0,25.0,BD-08 1662,-1.85,221.43,52312,2624,,,,1.8343192272303903,7.0,0.0,23.7,B9III,,5.96,-0.25263098853815236,0.9363732910227142,-0.24368554222507205
-,-0.39066286423806407,20.0,9.0,32.0,BD-19 1644,-7.21,231.93,52348,2625,,,,1.8331847632165938,7.0,0.0,8.1,B4III,,6.31,-0.2398448684333201,0.893008800116215,-0.3808014206922045
-,-0.9864746376376282,45.0,46.0,5.0,CD-45 2850,-17.88,255.83,52362,2626,,,,1.8269088501146313,6.0,58.0,41.8,A0V,,6.22,-0.13974085196396727,0.5336405875932739,-0.8340864568889067
-,-0.2102394528131503,9.0,12.0,11.0,BD-08 1667,-2.15,222.17,52382,2627,,,,1.8354536912441863,7.0,0.0,39.3,B1Ib,,6.49,-0.25581887132838255,0.9439298085611078,-0.2086940861214399
-,-0.41524291787031753,22.0,7.0,10.0,BD-21 1695,-8.03,233.72,52437,2628,,,,1.833999250200858,7.0,0.0,19.3,B2IV-Vne,,6.53,-0.23806444301683927,0.8835065956023487,-0.403412216595172
+,0.2839796137099107,4.0,49.0,5.0,BD+05 1513,4.47,209.8,52479,2629,,,,1.8399697306837217,7.0,1.0,41.4,A3V s,,6.63,-0.2552834911498256,0.9253813175726334,0.28017807950282936
+,0.4752386109076226,24.0,12.0,55.0,BD+24 1502,13.06,192.18,52497,2630,,,42Ome Gem,1.843125867747745,7.0,2.0,24.8,G5IIa-Ib,,5.18,-0.23916891081278283,0.8564144171543597,0.45755062910107064
+,0.4945099547317267,17.0,45.0,20.0,BD+17 1479,10.35,198.17,52554,2631,,,,1.8431767731842612,7.0,2.0,25.5,M1,,5.94,-0.23679607694123267,0.8477512058267124,0.4746003697476404
+,0.34979307092053025,15.0,20.0,10.0,BD+15 1431,9.28,200.37,52556,2632,,R,,1.8425877245617133,7.0,2.0,17.4,gK1,,5.74,-0.2522006977243532,0.9049581074991907,0.3427034165847091
+,0.2332196212977423,5.0,33.0,27.0,BD+05 1514,4.86,209.17,52559,2633,,,,1.8409587505931853,7.0,1.0,55.0,B2IV-V,,6.59,-0.25966260742869035,0.9376368997378822,0.23111117357944067
-,-1.1508991975859275,55.0,43.0,46.0,CP-55 1116,-21.16,265.81,52603,2634,,,,1.8267488615998653,6.0,58.0,39.6,K2III,,6.27,-0.10320772107036588,0.39438579896836945,-0.9131308821212556
+,0.4557491009270193,16.0,40.0,27.0,BD+16 1363,9.91,199.18,52609,2635,,,,1.8437585496015927,7.0,2.0,33.5,M2III,,5.82,-0.24206903293377133,0.8646870508294694,0.4401350786092189
-,-0.1079195254149827,1.0,20.0,44.0,BD-01 1509,1.71,215.32,52611,2636,,,,1.8408060342836359,7.0,1.0,52.9,G5II,,6.17,-0.2651889846059442,0.9581614284346011,-0.10771016434781393
-,-0.6168284464756626,28.0,29.0,22.0,CD-28 3711,-10.71,239.58,52619,2637,,,,1.8356936740163357,7.0,0.0,42.6,F5V,,6.27,-0.21356306654802973,0.7872644258784032,-0.5784509835352949
-,-1.080722417245322,56.0,23.0,41.0,CP-56 1211,-21.37,266.49,52622,2638,,,,1.8265016066224995,6.0,58.0,36.2,F2II,,6.45,-0.11905087338728586,0.4553866498831202,-0.8822980724528151
-,-0.2763437982324355,5.0,43.0,20.0,BD-05 1926,-0.28,219.22,52666,2639,,,,1.8410605614662183,7.0,1.0,56.4,M2III,,5.2,-0.25685648318382187,0.9271370358609018,-0.272839996667461
-,-0.4926919034275659,25.0,12.0,55.0,CD-25 3911,-9.23,236.62,52670,2640,,,,1.8373880978318136,7.0,1.0,5.9,B2V,,5.63,-0.2321117101929701,0.8499386937238134,-0.4729993349914484
-,-0.6977680905368997,33.0,27.0,55.0,CD-33 3415,-12.77,244.21,52703,2641,,,,1.836217272791934,7.0,0.0,49.8,G8II-III,,6.4,-0.20100662482221784,0.7394447165440972,-0.6425090255806528
+,1.2396928232811388,59.0,48.0,7.0,BD+60 1026,25.0,156.56,52708,2642,,R,,1.858870192041777,7.0,6.0,1.3,G8III:,,6.44,-0.09235910452580556,0.31169090153981927,0.9456841849732319
+,0.5944300544084021,29.0,20.0,14.0,BD+29 1441,15.32,187.43,52711,2643,,,,1.8478964343698625,7.0,3.0,30.4,G4V,,5.93,-0.22664189880893523,0.796864094304037,0.5600366639009335
+,1.10602969139924,52.0,45.0,29.0,BD+52 1165,23.36,164.07,52859,2644,,,,1.8573066679201988,7.0,5.0,39.8,A3V s,,6.12,-0.1266682679915904,0.42994316087627027,0.8939261872770773
+,1.0231992739816758,47.0,46.0,30.0,BD+47 1391,21.93,169.25,52860,2645,,,,1.8550668287134728,7.0,5.0,9.0,B9IIIn,,6.38,-0.1460164922116757,0.4997421599622342,0.8537780493538578
-,-0.7159486035785073,27.0,56.0,5.0,CD-27 3544,-10.27,239.17,52877,2646,e,,22Sig CMa,1.8400933581724046,7.0,1.0,43.1,K7Ib,,3.47,-0.20072992428204667,0.7272784597238618,-0.6563334057622017
+,0.19329521465837202,9.0,8.0,18.0,BD+09 1496,6.77,206.1,52913,2647,,,,1.8469874087177824,7.0,3.0,17.9,A3V s,,5.97,-0.26761459212317035,0.9441834622246872,0.192093778514953
-,-0.13242685699506976,4.0,14.0,21.0,BD-04 1788,0.61,218.01,52918,2648,e,,19    Mon,1.8453075293127377,7.0,2.0,54.8,B1V,,4.99,-0.2687030283620107,0.9541300145459346,-0.13204013742669007
+,0.42367867592162345,10.0,57.0,6.0,BD+11 1428,7.65,204.5,52960,2649,,,,1.8484491219663275,7.0,3.0,38.0,K3III,,5.13,-0.24986400630059316,0.8766704527753176,0.41111664474469595
+,0.49836422349654746,20.0,34.0,13.0,BD+20 1687,11.9,195.75,52973,2650,v,,43Zet Gem,1.8505217004530707,7.0,4.0,6.5,F7-G3Ib,,3.79,-0.2425094635316047,0.8442246876993108,0.4779893688949728
+,0.3650647018754806,12.0,35.0,40.0,BD+12 1406,8.42,203.04,52976,2651,,,,1.8494381418757913,7.0,3.0,51.6,K5,,5.98,-0.25692448388981665,0.8980723021644044,0.3570097332889933
-,-0.9954921721062656,51.0,24.0,9.0,CD-51 2224,-19.48,261.54,53047,2652,,,,1.836340900280617,7.0,0.0,51.5,M1III,,5.14,-0.1427881491354468,0.5250195074742642,-0.8390268537049065
-,-0.6195918844579871,23.0,50.0,0.0,CD-23 4797,-8.23,235.55,53138,2653,v,,24Omi2CMa,1.8457947670622528,7.0,3.0,1.5,B3Iab,,3.02,-0.22106935324785762,0.7835256334563356,-0.5807029557109398
+,0.14529866022852794,1.0,29.0,18.0,BD+01 1665,3.55,213.08,53205,2654,,,,1.8515179925677507,7.0,4.0,20.2,A0V,,6.57,-0.2741297895868569,0.9507309336464366,0.1447879493218977
-,-0.1719876533736079,5.0,19.0,25.0,BD-05 1943,0.38,219.11,53208,2655,,,,1.8504271617852543,7.0,4.0,5.2,K3III,,5.62,-0.27192887552540446,0.9469770006835764,-0.17114101446417435
-,-0.20703968251782734,10.0,7.0,27.0,BD-09 1818,-1.85,223.36,53240,2656,e,,,1.8498526575731398,7.0,3.0,57.3,B9IIIn,,6.45,-0.2695660539926763,0.9407856845336912,-0.205563708643553
-,-0.4276056667386108,15.0,38.0,0.0,BD-15 1625,-4.41,228.25,53244,2657,,,23Gam CMa,1.8489945373575758,7.0,3.0,45.5,B8II,,4.12,-0.24989682312249215,0.8749749095194327,-0.4146932426562391
-,-0.8563021642597181,43.0,24.0,15.0,CD-43 2882,-16.43,253.77,53253,2658,,,,1.8424568248678137,7.0,2.0,15.6,A0V,,6.43,-0.17582023161858576,0.63120570913277,-0.7554247804459315
+,0.5507968231085439,22.0,38.0,14.0,BD+22 1566,13.01,193.94,53257,2659,,,44    Gem,1.8557504160038372,7.0,5.0,18.4,B8Vn,,6.02,-0.2395389035280666,0.8177461415931928,0.5233663741644254
+,0.7174757666740023,34.0,28.0,26.0,BD+34 1524,17.78,182.69,53329,2660,,,,1.8596192291790912,7.0,6.0,11.6,G8IV,,5.55,-0.21460576576211043,0.7222589910950503,0.6574848401933068
-,-1.2583823906879115,58.0,56.0,24.0,CP-58  820,-21.79,269.21,53349,2661,,,,1.8373299201900803,7.0,1.0,5.1,A8III,,6.02,-0.08095435806425128,0.2965037645894935,-0.9515944038794382
-,-1.4092079268810884,67.0,54.0,58.0,CP-67  686,-24.22,278.61,53501,2662,,,,1.8319048550984651,6.0,59.0,50.5,K3III,,5.17,-0.0415330188001486,0.15543278578850095,-0.9869729770623775
+,0.20573068557883162,9.0,11.0,9.0,BD+09 1510,7.31,206.32,53510,2663,,,,1.8572557624836823,7.0,5.0,39.1,M0III,,5.78,-0.2765991329568248,0.9390216096661141,0.20428249124091052
-,-0.39240819349005845,22.0,1.0,56.0,BD-21 1732,-7.07,234.11,53629,2664,,,,1.853474215771028,7.0,4.0,47.1,K0,,6.09,-0.2577271441084925,0.8873194120291494,-0.38241467051608374
+,0.5958844954517306,34.0,0.0,34.0,BD+34 1530,17.84,183.24,53686,2665,,,,1.8647606782672579,7.0,7.0,22.3,gK4,,5.91,-0.23981127836438065,0.7921483815784172,0.5612410287318061
-,-0.821322857167665,42.0,20.0,14.0,CD-42 2929,-15.72,252.87,53704,2666,,,,1.850252628860055,7.0,4.0,2.8,Am,,5.2,-0.1879122287516032,0.6548245579943269,-0.7320476709430469
-,-0.9096801505498779,43.0,36.0,29.0,CD-43 2906,-16.22,254.09,53705,2667,,,,1.8498526575731398,7.0,3.0,57.3,G3V,,5.54,-0.16912496015646114,0.5902462088822665,-0.7893073930682438
-,-0.9106255372280415,43.0,36.0,42.0,CD-43 2907,-16.22,254.09,53706,2668,,,,1.8499617406513893,7.0,3.0,58.8,K0V,,6.79,-0.1689836512573425,0.5895101809551188,-0.7898875060146223
+,0.5350888598405948,28.0,10.0,38.0,BD+28 1314,15.66,188.89,53744,2669,,,,1.8649570278081071,7.0,7.0,25.0,B9V,,6.48,-0.24941031517823856,0.8232731366377106,0.5099174807489907
-,-0.3476114093555373,10.0,39.0,40.0,BD-10 1862,-1.69,224.05,53755,2670,,,,1.8580266162366463,7.0,5.0,49.7,B0.5V+F5III,,6.49,-0.2663528134436126,0.9016716005315163,-0.3406530545373191
+,0.5681773935763208,22.0,42.0,13.0,BD+22 1577,13.47,194.08,53791,2671,v,,,1.864695228420308,7.0,7.0,21.4,S3.9e,,7.68,-0.24417155618365202,0.8067417142469209,0.5380966991580539
-,-1.0080730871310584,49.0,35.0,2.0,CD-49 2587,-18.41,259.91,53811,2672,,,,1.8495908581853406,7.0,3.0,53.7,A4IV,,4.93,-0.1468152219285059,0.5128922651069591,-0.8458054238437682
+,0.7938339214487542,33.0,49.0,56.0,BD+34 1533,17.94,183.48,53899,2673,,,,1.8684695029277458,7.0,8.0,13.3,K1,,6.28,-0.20563508362960453,0.6702826676315983,0.7130465327405455
-,-1.0763590941153363,59.0,10.0,41.0,CP-58  826,-21.6,269.54,53921,2674,,,,1.8468201479977997,7.0,3.0,15.6,B9IV,,5.5,-0.1293264120206236,0.45657358074745596,-0.8802359027654565
+,0.7622725508085235,37.0,26.0,42.0,BD+37 1660,19.28,179.94,53925,2675,,,,1.8701421101275735,7.0,8.0,36.3,K1III,,6.16,-0.21328837946110377,0.691104504180823,0.690566891392742
+,0.3081233350291656,4.0,54.0,37.0,BD+05 1543,5.72,210.33,53929,2676,,,,1.8636043976378114,7.0,7.0,6.4,B9.5III,,6.11,-0.2750481426641169,0.9123460346539581,0.30327088925285595
-,-0.7970336917440771,34.0,46.0,40.0,CD-34 3327,-12.42,245.85,53952,2677,,,,1.8567394359133005,7.0,5.0,32.0,F2V,,6.14,-0.1971140957260139,0.6704562290553259,-0.7152862910660515
-,-0.26899887096362607,11.0,17.0,39.0,BD-11 1790,-1.79,224.71,53974,2678,,,,1.8617354408971343,7.0,6.0,40.7,B0.5IV,,5.39,-0.27653606868290337,0.9235236866908341,-0.2657664441542136
-,-0.3125593802113179,12.0,23.0,38.0,BD-12 1788,-2.32,225.68,53975,2679,,,,1.8613863750467354,7.0,6.0,35.9,O7.5V,,6.48,-0.2726357197573574,0.9116559537489491,-0.30749501834417053
-,-0.6952228187110747,30.0,39.0,20.0,CD-30 3907,-10.59,242.08,54031,2680,,,,1.8588192866052604,7.0,6.0,0.6,B3V,,6.34,-0.21813063176790584,0.7362786975414016,-0.6405565603686152
+,1.4529866022852793,71.0,49.0,0.0,BD+72  352,27.42,143.41,54070,2681,,,,1.8935440665147314,7.0,13.0,58.1,K0,,6.35,-0.03727976203644643,0.11146864646019364,0.9930684569549263
+,0.24550964811386902,7.0,28.0,16.0,BD+07 1607,7.03,208.11,54079,2682,,,,1.8667387180861845,7.0,7.0,49.5,gK0,,5.75,-0.28289612147537496,0.9278448852186252,0.24305072192409963
-,-1.1736611999140203,56.0,44.0,59.0,CP-56 1232,-20.73,267.11,54118,2683,,,,1.8513798206686347,7.0,4.0,18.3,A0pSi,,5.17,-0.10710516722818292,0.3716526923702318,-0.9221728468172227
