de_sign,dec_rad,ded,dem,des,dm,glat,glon,hd_cat_num,hrn,n_spectral_type,n_vmag,name,ra_rad,rah,ram,ras,spectral_type,u_vmag,vmag,x,y,z
-,-0.15235269928867168,5.0,14.0,55.0,BD-06   11,-66.03,96.99,587,29,,,,0.04500040588058714,0.0,10.0,18.8,K1III,,5.84,0.9874161376074198,0.044464144857293685,-0.15176399775491756
-,-1.489783960681493,82.0,13.0,26.0,CP-82    4,-34.77,304.63,636,30,,,Gam3Oct,0.043785947609407745,0.0,10.0,2.1,G8III,,5.28,0.08084621959819578,0.003542192333050766,-0.9967202925847131
-,-0.36128315516282616,12.0,34.0,48.0,BD-13   13,-72.6,87.69,645,31,,,,0.046745735132581456,0.0,10.0,42.8,K0IV,,5.85,0.9344221677337782,0.04371209515611145,-0.3534748437792571
-,-1.3328497721063364,73.0,13.0,28.0,CP-73    4,-43.58,306.98,661,32,,,,0.046440302513482454,0.0,10.0,38.6,F2V+F6V,,6.64,0.2354534075214062,0.010942395098430131,-0.9718240359633366
-,-0.3843360456995847,15.0,28.0,5.0,BD-16   17,-75.06,82.24,693,33,,,6    Cet,0.04915283505929031,0.0,11.0,15.9,F7V,,4.89,0.9259279338927152,0.04554867080202892,-0.3749437022078594
-,-0.6806056862256221,27.0,47.0,59.0,CD-28   26,-81.13,26.3,720,34,,,Kap2Scl,0.05049819302436927,0.0,11.0,34.4,K5III,,5.41,0.7762009897569645,0.039230099544153435,-0.6292638737366578
-,-0.6456991011857355,35.0,7.0,59.0,CD-35   42,-78.34,347.16,739,35,,,The Scl,0.051196324725167004,0.0,11.0,44.0,F4V,,5.25,0.7976328071485211,0.040871583454932206,-0.6017569431475274
+,0.8776824475966484,48.0,9.0,9.0,BD+47   21,-14.2,116.16,743,36,,,,0.05229442771288011,0.0,11.0,59.1,gK4,,6.16,0.6380622073723935,0.03339754770264745,0.7692601792180056
-,-0.5423610650572379,17.0,56.0,18.0,BD-18   14,-77.1,76.32,787,37,,,,0.05308709808149419,0.0,12.0,10.0,K5III,,5.25,0.8552857661430027,0.0454473412165667,-0.5161596627106015
+,0.8272860654453122,37.0,41.0,36.0,BD+36   12,-24.55,114.55,829,38,,,,0.056025068989017976,0.0,12.0,50.4,B2V,,6.73,0.6758139555399558,0.03790218768462871,0.7360970871197343
+,0.30986866428115994,15.0,11.0,1.0,BD+14   14,-46.68,109.43,886,39,,,88Gam Peg,0.057755853830579025,0.0,13.0,14.2,B2IV,,2.83,0.9507856335098104,0.054974576611114316,0.30493355839883757
+,0.7122397789180195,26.0,59.0,14.0,BD+26   13,-35.12,112.56,895,40,,,,0.058468529941810045,0.0,13.0,24.0,G0III,,6.3,0.7556066225402381,0.04422962059436295,0.6535306975463454
+,0.7248206939428118,41.0,2.0,7.0,BD+40   29,-21.27,115.27,905,41,,,23    And,0.05896303989654177,0.0,13.0,30.8,F0IV,,5.72,0.7473173528993176,0.044115239016961946,0.6630012215237866
-,-0.45953064763967366,26.0,1.0,19.0,CD-26   56,-81.49,38.28,942,42,,,,0.05978479908602244,0.0,13.0,42.1,K5III,,5.94,0.8946595263651799,0.053550856128183534,-0.44352749372724404
-,-0.5283257089891169,26.0,17.0,5.0,CD-26   57,-81.54,36.52,943,43,,,,0.05993751539557194,0.0,13.0,44.2,K5III,,6.31,0.8621013972182049,0.0517341823934686,-0.50408804318938
+,0.6299184158656201,33.0,12.0,22.0,BD+32   21,-29.02,113.99,952,44,,,,0.06125378453978432,0.0,14.0,2.3,A1V,,6.25,0.8065600840984968,0.04946673992378564,0.5890788337568567
+,0.4031710572106902,20.0,12.0,24.0,BD+19   27,-41.83,111.3,1013,45,e,,89Chi Peg,0.06371906210822632,0.0,14.0,36.2,M2+III,,4.8,0.9179548367100786,0.058570510461974215,0.3923371166035615
-,-0.3265220142272725,7.0,46.0,50.0,BD-08   26,-68.76,96.87,1014,46,,,,0.06309365245959501,0.0,14.0,27.6,M3+III,,5.12,0.9452790230181705,0.05972037232577403,-0.3207507533445306
-,-1.7263487963788915,84.0,59.0,39.0,CP-85    2,-32.06,303.91,1032,47,,,,0.05813400850184446,0.0,13.0,19.4,M0-1III,,5.77,-0.15466420478995532,-0.009001392739352077,-0.9879260896876054
-,-0.5583599165338526,18.0,55.0,58.0,BD-19   21,-78.23,75.11,1038,48,e,,7    Cet,0.06387905062299247,0.0,14.0,38.4,M3III,,4.44,0.8463953477529963,0.05414059213312693,-0.5297959150329105
+,0.45836709480501087,22.0,17.0,3.0,BD+21   13,-39.81,111.92,1048,49,,,,0.06516623094633828,0.0,14.0,56.1,A1pSi,,6.24,0.8948727596717103,0.05839817363151674,0.44248434697064776
+,0.3545200043113482,8.0,49.0,15.0,BD+08   19,-52.98,107.86,1061,50,,,35    Psc,0.06536258048718764,0.0,14.0,58.8,F0IV,,5.79,0.9358106415825672,0.06125425474532141,0.34714025893926376
-,-0.3062325616728384,9.0,34.0,11.0,BD-10   30,-70.44,95.06,1064,51,,,,0.06504987566287199,0.0,14.0,54.5,B9V,,5.75,0.9514594989736644,0.06197976895972343,-0.3014686220031578
+,0.6813329067472864,31.0,32.0,9.0,BD+30   26,-30.7,113.93,1075,52,,R,,0.06595890131495237,0.0,15.0,7.0,K5,,6.45,0.7750448980791381,0.051195374623372765,0.6298288970654419
