intensity,x,y,z
1.3375796178343948,70.4094,1.5871,70.9929
1.772823779193206,99.9717,2.209,0.878
3.5562632696390657,99.6925,2.3211,-7.4848
2.600849256900213,97.2491,2.4192,23.1682
2.1231422505307855,52.3245,1.4311,85.2062
2.3991507430997876,65.6797,1.8107,-75.385
2.515923566878981,43.512,1.2233,90.0289
1.9426751592356688,87.4075,2.5229,48.5136
1.8895966029723994,92.0827,2.747,-38.9003
1.8789808917197448,95.7768,3.0531,-28.5916
1.6242038216560513,99.911,3.3733,-2.5324
2.144373673036093,92.9938,3.158,-36.6357
2.420382165605096,84.3146,2.9658,-53.6866
2.006369426751592,99.8993,3.5766,-2.7088
6.263269639065818,87.3267,3.1977,48.6191
2.091295116772824,99.1518,3.5881,-12.492
1.8789808917197448,80.1964,3.04,59.6598
2.0169851380042467,95.8535,3.5804,-28.2718
1.8365180467091289,90.2189,3.4935,42.9925
2.070063694267516,17.8401,0.7272,98.3931
6.040339702760084,51.2385,2.0531,85.851
2.579617834394904,94.9168,3.7459,31.2533
1.73036093418259,58.7355,2.318,-80.8997
2.696390658174098,89.7953,3.6654,-43.8563
4.3312101910828025,71.5668,2.9406,-69.7822
2.600849256900213,98.0198,4.2961,19.3302
3.110403397027601,69.3048,3.1234,72.0215
1.2951167728237791,54.1645,2.4821,84.0241
2.2505307855626326,99.5555,4.4831,-8.2832
2.8450106157112525,14.2904,0.6261,-98.9717
2.2399150743099794,97.9131,4.5804,-19.8
1.4012738853503188,29.5796,1.3747,-95.5152
3.2590233545647562,96.6839,4.7561,-25.092
2.7070063694267517,89.6112,4.5291,-44.151
2.8768577494692145,81.9407,4.1987,-57.1673
1.9108280254777068,66.6238,3.4872,74.4923
2.8768577494692145,95.9611,5.0991,-27.6672
1.3057324840764326,79.0053,4.4309,61.1435
5.445859872611464,96.3482,5.5709,26.1913
1.7622080679405523,88.9585,5.2072,45.3792
2.37791932059448,75.2995,4.445,65.6524
2.144373673036093,89.7356,5.3712,-43.8027
1.7515923566878986,89.9343,5.3969,-43.3899
1.815286624203822,83.5137,5.1219,54.7652
3.3545647558386413,93.6548,5.9757,34.5407
3.0148619957537157,99.2136,6.2681,-10.8337
2.324840764331211,12.1563,0.7075,-99.2559
3.7367303609341826,95.4011,6.1024,-29.3493
1.8259023354564754,92.3351,6.0257,37.92
2.303609341825902,98.6063,6.4544,15.3345
2.346072186836518,98.7103,6.4302,-14.6606
1.6029723991507427,85.046,5.6177,52.3032
1.7091295116772829,88.6805,5.8811,45.8387
1.9002123142250533,83.5975,5.4683,-54.6037
1.7091295116772829,22.5221,1.5979,97.4177
1.9214437367303605,72.2391,5.1655,68.9553
2.4309978768577496,85.9017,6.0627,-50.8344
1.5605095541401273,27.3489,1.9028,-96.1687
1.9639065817409764,98.7091,7.1484,14.332
2.356687898089172,47.5344,3.5223,87.9095
1.5817409766454353,93.8444,6.8538,-33.8565
2.1974522292993637,66.7936,5.0081,74.2531
3.5562632696390657,77.8461,5.8163,62.4993
1.2632696390658178,22.0622,1.6218,-97.5224
1.9320594479830153,62.1567,4.8145,78.188
1.6029723991507427,94.3039,7.2328,-32.4725
1.9002123142250533,99.6554,7.7534,2.9472
3.6518046709129517,79.8326,6.398,59.8818
2.0276008492569004,97.7814,7.8186,19.4334
1.9639065817409764,71.9466,5.884,69.2031
2.2186836518046706,84.9666,6.9252,52.2755
1.5923566878980893,98.7102,8.0707,-13.8261
1.73036093418259,73.1703,5.9868,-67.8989
4.670912951167728,98.8604,8.4007,-12.492
1.73036093418259,75.5,6.5036,65.2492
1.528662420382166,65.5307,5.7582,75.3165
3.959660297239915,45.0309,3.9539,-89.1997
2.1868365180467086,85.4346,7.6273,51.4078
2.303609341825902,83.6071,7.5935,54.3341
2.749469214437367,98.5805,8.8841,14.2461
1.4861995753715502,97.7621,8.9436,19.0414
2.951167728237792,78.5002,7.2552,61.523
2.600849256900213,36.7035,3.3161,-92.9616
2.951167728237792,88.6937,8.3528,-45.4276
3.0148619957537157,93.5799,8.9166,-34.1072
1.8365180467091289,96.779,9.4999,23.3148
2.112526539278132,23.1187,2.1728,-97.2667
1.666666666666667,97.4034,9.7493,-20.4335
1.496815286624204,85.3098,8.6692,-51.4498
0.6050955414012742,77.7474,8.183,62.3569
2.5371549893842884,61.1942,6.502,78.8226
2.7176220806794054,46.9313,5.0966,88.156
2.006369426751592,99.3814,10.6625,-3.1076
2.356687898089172,59.7557,6.5725,79.9128
2.324840764331211,99.3294,11.0553,3.3848
5.477707006369427,22.7825,2.5707,-97.3363
5.912951167728238,74.1804,8.5447,-66.5151
4.2675159235668785,73.4569,8.4354,-67.3271
1.8789808917197448,99.326,11.5905,0.0868
2.1019108280254772,90.3878,10.7961,-41.3943
3.0785562632696397,94.4514,11.6174,30.7241
2.961783439490446,70.9127,8.7787,69.9594
3.3439490445859876,83.2519,10.1956,-54.4533
2.0169851380042467,95.1835,11.7763,28.3095
2.038216560509554,97.6715,12.1375,17.6908
1.6242038216560513,93.448,11.6196,-33.652
2.6857749469214443,78.1044,9.7423,-61.683
1.804670912951168,79.3316,10.0723,60.042
1.804670912951168,64.4787,8.1222,-76.0034
1.8577494692144374,22.258,3.0209,97.4446
2.144373673036093,49.5969,6.6026,86.5827
2.898089171974522,86.0697,11.3778,49.6242
1.9320594479830153,96.5577,12.6542,-22.726
1.4755838641188956,84.195,11.0154,-52.8191
2.37791932059448,99.0792,13.0616,-3.5646
2.9405520169851376,91.7669,12.2355,-37.8038
1.8789808917197448,76.9631,10.2907,-63.0141
2.4097664543524413,66.5999,8.8967,-74.0629
1.8895966029723994,39.4699,5.4456,91.7195
2.2186836518046706,82.5278,11.3881,55.3125
3.4288747346072186,57.4818,8.0206,81.4341
2.5053078556263273,59.8286,8.325,79.6946
3.3864118895966038,67.3113,9.2853,-73.3687
3.81104033970276,47.959,6.6431,-87.4974
3.630573248407644,47.9703,6.6479,-87.4909
1.3375796178343948,71.818,10.2361,68.8288
1.634819532908705,32.2432,4.7213,94.5414
4.033970276008493,45.0344,6.5297,89.0464
2.7388535031847137,92.8455,13.2931,34.6845
2.4309978768577496,98.274,13.985,12.1099
1.3694267515923568,87.7422,12.5559,46.2995
1.7622080679405523,87.1627,12.5675,47.3785
2.154989384288748,56.9063,8.295,81.81
3.0467091295116773,44.9848,6.4684,-89.076
1.5711252653927807,39.0297,5.9053,91.8793
2.5583864118895967,86.9822,12.8774,-47.6264
1.9426751592356688,32.6461,4.7899,-94.3996
2.5371549893842884,61.3774,9.2998,-78.3985
1.6560509554140124,96.162,14.7671,23.1257
2.929936305732484,98.7324,15.3059,-4.2002
2.154989384288748,98.7957,15.4474,0.8823
3.057324840764331,57.8139,9.1926,81.0743
1.6454352441613587,96.1625,15.1927,22.8464
2.303609341825902,48.8813,7.8415,86.8857
2.600849256900213,66.1046,10.3768,-74.3135
2.0169851380042467,59.2132,9.2611,-80.0502
1.5498938428874733,87.7831,14.0344,45.7947
1.6029723991507427,96.2238,15.2619,-22.54
2.0169851380042467,92.1037,14.6352,-36.0933
3.0042462845010616,70.4225,11.3986,70.0767
4.564755838641189,58.1589,9.4644,80.7958
3.8216560509554136,82.1019,13.3276,55.5127
2.1974522292993637,95.2467,15.4216,26.2722
1.5817409766454353,90.149,14.7302,40.6963
2.6326963906581735,80.4332,13.2261,57.9273
1.6560509554140124,12.8668,2.2565,99.1431
2.5371549893842884,90.6737,14.9073,-39.4468
1.634819532908705,41.9181,6.7561,-90.5386
1.666666666666667,98.5161,16.2687,5.4694
1.6454352441613587,58.5495,9.6145,-80.4954
3.81104033970276,85.966,14.5999,48.956
2.6857749469214443,64.189,11.0773,75.8754
4.978768577494692,84.5808,14.6584,51.2955
2.2186836518046706,91.8291,15.929,36.2447
2.760084925690021,91.6722,16.134,36.55
6.082802547770702,54.2804,9.6953,83.4244
1.1783439490445864,29.0475,4.9495,-95.5602
1.3481953290870483,83.4837,14.7073,-53.0487
2.070063694267516,71.7928,12.616,-68.459
1.5605095541401273,94.8718,16.932,-26.6953
1.9320594479830153,91.1446,16.2962,-37.7769
2.1762208067940554,98.2273,17.6326,-6.3628
2.791932059447983,75.969,13.7785,63.5521
2.1974522292993637,51.3718,9.16,-85.3055
2.261146496815287,39.7594,7.3791,91.459
2.038216560509554,89.409,16.4096,41.6744
3.3545647558386413,62.5229,11.6063,77.1763
3.5774946921443735,68.4444,12.4775,-71.8308
1.9002123142250533,50.9822,9.5683,85.4942
2.3991507430997876,55.7047,10.2673,-82.411
3.2059447983014855,66.9458,12.8519,73.1648
2.0169851380042467,77.9231,14.6938,-60.9269
2.1019108280254772,49.5242,9.3346,-86.3726
2.72823779193206,42.2645,7.9236,-90.2825
6.284501061571126,94.3864,18.1717,-27.5861
2.4309978768577496,65.8317,12.9276,74.1556
2.0594479830148624,96.0351,18.5963,-20.7713
3.8216560509554136,54.1563,10.3684,-83.4242
2.4416135881104037,25.3899,5.1253,96.5872
3.630573248407644,65.2802,12.9036,74.6458
3.397027600849257,96.8316,18.9055,-16.3163
2.1868365180467086,77.7826,15.1905,-60.9846
2.696390658174098,55.9303,11.198,82.1365
2.887473460721868,90.9612,17.9861,-37.4508
2.144373673036093,73.6596,14.6357,-66.0308
2.006369426751592,46.8143,9.214,-87.8836
1.73036093418259,34.5778,7.1371,93.5598
1.9214437367303605,97.8746,19.6468,-5.8798
1.9214437367303605,59.998,11.9343,-79.1063
1.9214437367303605,96.1973,19.3436,-19.285
1.528662420382166,55.7652,11.4093,82.2196
2.0276008492569004,69.4473,14.1866,70.5394
1.5817409766454353,94.4193,19.079,-26.8514
1.666666666666667,49.5938,10.2493,86.2288
2.7070063694267517,25.5732,5.4087,96.5234
2.292993630573249,67.532,13.6659,-72.4753
2.6114649681528666,91.1717,18.6306,-36.6145
2.7388535031847137,94.3933,19.4406,26.6827
2.2186836518046706,29.1243,6.2107,95.4631
2.6114649681528666,95.7722,19.9315,20.7466
1.9426751592356688,92.2248,19.278,33.5104
4.140127388535032,89.2261,18.6965,41.0993
2.091295116772824,97.1929,20.3902,11.7379
1.5074309978768576,91.3709,19.3854,35.715
2.3991507430997876,93.0837,19.6674,-30.7998
4.798301486199575,52.0465,11.3242,84.634
2.5371549893842884,91.7511,19.51,-34.6567
2.154989384288748,96.9957,20.7454,12.7065
2.346072186836518,97.3649,20.8658,9.2033
3.2590233545647562,61.5507,13.3176,77.6798
3.7473460721868372,96.897,20.8983,13.1997
3.067940552016985,93.4846,20.2882,29.1379
3.641188959660297,73.607,16.2554,65.7098
2.515923566878981,95.3906,20.8974,-21.5393
2.1868365180467086,89.3492,19.4942,-40.4561
1.794055201698514,68.7388,14.9074,-71.0827
1.019108280254777,86.4421,19.1163,46.5009
0.9129511677282383,86.4419,19.1189,46.5001
1.7834394904458597,90.146,19.802,-38.4913
2.72823779193206,42.3885,9.5384,90.0679
1.9214437367303605,69.0114,15.3959,70.7134
2.9405520169851376,96.3192,21.4093,-16.2561
3.067940552016985,28.4574,6.1254,-95.6695
2.006369426751592,46.0687,10.482,88.1352
1.666666666666667,60.7084,13.7248,78.2696
1.5711252653927807,71.8545,15.95,-67.6944
2.4840764331210194,10.6481,2.5999,99.3975
1.8577494692144374,60.5879,13.8658,78.338
2.9087048832271765,63.9912,14.3878,-75.4859
1.6878980891719746,97.3347,22.1608,5.9045
3.333333333333333,47.0025,11.0824,87.5668
1.125265392781316,72.0875,16.5991,-67.2894
1.3481953290870483,76.1346,17.8888,62.3178
2.6539278131634823,88.9561,20.814,-40.6644
3.3864118895966038,97.3262,22.921,-1.4937
2.0169851380042467,77.2705,18.3621,60.7626
1.794055201698514,58.9518,14.0969,79.5359
1.5923566878980893,89.4323,21.1436,-39.4312
1.847133757961784,35.7032,8.3092,-93.0389
3.3227176220806798,50.0673,12.2518,85.6923
2.356687898089172,91.7781,22.2826,32.8674
1.9108280254777068,96.4279,23.2809,-12.6358
1.794055201698514,64.13,15.7182,75.1018
2.3991507430997876,46.9685,11.1963,-87.5706
2.643312101910828,88.9941,21.763,40.0802
1.8683651804670913,88.3251,21.7131,41.5597
1.8577494692144374,51.4106,12.8693,84.8017
1.6878980891719746,35.0903,8.8998,93.2173
1.9851380042462847,86.2947,21.5057,45.7245
2.2399150743099794,96.4069,23.9059,-11.5852
5.828025477707007,47.4232,11.9797,87.2212
3.5350318471337583,49.6747,12.5381,85.8791
2.5583864118895967,47.9405,12.1275,86.9174
2.813163481953292,95.3294,23.7793,-18.6238
1.9745222929936308,87.0494,21.6736,-44.1889
4.341825902335456,75.8741,19.1827,62.2507
2.664543524416136,35.6421,8.7224,-93.0245
3.7579617834394905,88.9194,22.668,39.7428
1.9532908704883227,67.4734,17.3436,71.7394
2.112526539278132,38.8109,10.1309,91.6029
2.696390658174098,84.6981,21.84,48.4691
2.1019108280254772,80.288,20.8524,55.8481
1.740976645435244,94.0717,24.2885,23.6767
1.6878980891719746,90.1051,23.4349,36.4949
1.666666666666667,31.4554,8.5045,94.5422
2.4946921443736727,95.0774,24.9128,-18.4294
3.874734607218684,84.9088,22.1989,-47.9343
1.8365180467091289,49.402,12.8621,-85.9884
1.18895966029724,68.6402,18.4103,70.3533
2.038216560509554,68.6373,18.4106,70.356
1.9639065817409764,95.9941,25.6445,11.2909
3.9384288747346075,6.2367,1.929,99.7867
1.5923566878980893,1.5761,0.684,99.9852
1.5817409766454353,60.5749,16.8862,77.753
2.515923566878981,76.9388,21.086,-60.2976
1.6029723991507427,65.1738,18.3886,73.5815
2.1019108280254772,72.2643,20.3483,66.0592
2.6114649681528666,81.8127,23.0036,52.7022
2.1656050955414012,46.515,13.2538,87.5254
2.6114649681528666,83.0291,23.1978,-50.6757
3.9065817409766455,95.3411,26.8635,13.7272
1.9639065817409764,52.4847,14.5627,-83.8647
2.6857749469214443,96.0937,27.1209,-5.5183
2.2505307855626326,45.7303,13.1835,87.9485
2.091295116772824,58.512,16.7891,79.3377
2.760084925690021,67.3514,18.938,-71.4503
1.772823779193206,84.5723,23.9688,-47.6762
2.038216560509554,96.1208,27.479,2.3851
1.5074309978768576,60.4217,17.5484,77.7256
1.8789808917197448,83.4844,24.1202,49.4831
1.8577494692144374,41.3827,11.6156,-90.2915
1.3163481953290874,73.5903,21.3127,64.2669
1.815286624203822,4.7074,1.6261,99.8759
2.08067940552017,95.5525,27.7952,9.8562
2.420382165605096,92.7464,27.0726,25.791
1.5074309978768576,43.8629,13.0719,88.911
2.7813163481953294,89.2632,26.3062,36.6068
2.547770700636943,89.2666,26.3128,36.5937
1.772823779193206,16.56,5.1583,98.4843
1.7091295116772829,95.5526,28.2223,8.5562
0.7537154989384289,95.5479,28.2376,8.5581
1.9532908704883227,94.9913,27.9635,-13.9533
1.6242038216560513,52.2439,15.7245,83.8052
2.5265392781316347,94.9007,28.1491,-14.1948
1.6772823779193209,56.9489,17.1826,80.384
1.9532908704883227,93.3731,27.9067,22.4205
1.9320594479830153,88.8808,26.3818,-37.4728
2.961783439490446,54.9403,16.8686,81.8353
4.936305732484078,67.4577,20.0086,-71.0571
1.43312101910828,79.1256,23.604,-56.4091
3.110403397027601,68.8567,21.0565,69.3929
1.6878980891719746,88.7567,26.805,-37.4665
2.303609341825902,50.2654,15.5009,85.0477
1.815286624203822,81.0861,24.7989,53.01
2.5583864118895967,89.4394,27.3245,35.4114
2.2717622080679405,94.6783,28.8422,-14.2878
2.5902335456475587,95.1188,29.2487,9.8447
2.9193205944798306,72.7234,22.1638,-64.9621
2.749469214437367,47.5334,14.3765,-86.798
2.4628450106157116,17.041,5.5598,98.3803
4.7876857749469215,94.1555,29.0515,-17.0515
3.9384288747346075,64.7923,20.2747,73.4227
2.8343949044585988,34.4907,10.9833,93.2189
6.263269639065818,77.5554,24.3533,58.2415
4.288747346072187,55.1586,16.965,-81.6684
2.5583864118895967,89.8351,28.2473,33.6415
2.452229299363057,70.7537,22.4149,67.0186
2.292993630573249,86.0729,27.2723,42.9846
2.5583864118895967,41.4223,13.3445,90.034
3.853503184713376,54.4153,17.4455,82.0648
2.0169851380042467,91.8009,29.0291,27.0166
2.5371549893842884,40.1826,12.996,90.6447
1.6560509554140124,94.6156,29.923,-12.3496
2.1337579617834392,95.2111,30.2759,4.267
2.282377919320595,75.3131,24.1701,61.1861
2.9723991507431,81.2575,26.055,52.1378
1.6454352441613587,52.8998,16.7105,-83.2008
3.5031847133757963,88.8366,28.6307,35.8934
3.6624203821656054,82.3289,26.6153,50.1356
2.144373673036093,95.0983,30.7732,-3.0519
1.6454352441613587,45.0049,14.8763,88.0526
1.9639065817409764,66.7983,21.8868,71.1263
1.8789808917197448,82.1941,27.1002,50.097
1.804670912951168,16.5522,5.7408,98.4534
1.528662420382166,82.9756,27.1166,-48.7826
2.1656050955414012,76.7189,25.2078,-58.9811
3.5138004246284495,86.2679,28.7595,41.6021
2.887473460721868,94.0415,31.3435,13.1829
1.7622080679405523,94.0376,31.3528,13.1882
1.6242038216560513,83.3067,27.9077,47.7615
2.1019108280254772,91.0807,30.5311,27.7878
0.13800424628450095,29.6108,10.225,94.9666
3.0042462845010616,94.2443,31.7167,-10.5864
2.048832271762208,94.0289,31.7844,12.1788
2.3991507430997876,94.7045,32.0649,1.6997
1.43312101910828,63.1278,21.8625,74.4104
3.1847133757961785,67.5576,22.9936,-70.0518
2.0594479830148624,79.1572,27.3771,54.6317
1.7197452229299366,66.8627,23.3773,70.5896
2.7070063694267517,94.4332,32.7951,-2.6172
1.3057324840764326,80.2361,28.1776,52.6136
1.7515923566878986,20.2152,7.3902,97.6562
1.815286624203822,63.7645,22.6334,73.633
3.2908704883227173,36.7688,12.619,-92.1348
2.9723991507431,94.1057,33.2322,6.3042
1.5923566878980893,74.8076,26.7789,60.7183
1.8259023354564754,38.9943,13.6289,-91.0698
1.6772823779193209,22.2816,8.3291,97.1296
3.1634819532908702,49.4671,18.0245,85.0184
3.397027600849257,83.6002,30.2078,45.8094
1.7197452229299366,40.1504,14.8295,90.3772
2.2186836518046706,93.9946,34.1207,0.8882
2.006369426751592,18.2586,6.9887,98.0703
1.8365180467091289,93.7748,34.3979,-4.8031
1.9214437367303605,92.2486,33.7871,-18.6715
2.898089171974522,82.2468,30.3927,48.0806
3.2696390658174104,65.5821,24.6311,71.3604
1.6029723991507427,49.327,18.777,84.9369
1.8683651804670913,93.5302,35.2566,3.0127
1.5605095541401273,93.5754,35.2566,0.7849
1.7091295116772829,88.5336,33.3254,-32.4225
2.5265392781316347,73.8921,28.245,61.1734
1.772823779193206,77.221,29.4975,56.2745
2.112526539278132,87.549,33.3508,34.9699
